time,weather,probe
2018-06-24 13:58,91.4,78.91
2018-06-24 14:28,91.4,80.38
2018-06-24 14:58,93.2,81.61
2018-06-24 15:28,91.4,82.85
2018-06-24 15:58,91.4,83.64
2018-06-24 16:28,89.6,83.86
2018-06-24 16:58,89.6,83.19
2018-06-24 17:28,87.8,82.18
2018-06-24 17:58,84.2,81.05
2018-06-24 18:28,82.4,80.71
2018-06-24 18:58,82.4,81.61
2018-06-24 19:28,78.8,81.84
2018-06-24 19:59,77.0,80.83
2018-06-24 20:29,75.2,78.24
2018-06-24 20:59,75.2,75.88
2018-06-24 21:29,69.8,73.74
2018-06-24 21:59,69.8,71.71
2018-06-24 22:29,66.2,70.03
2018-06-24 22:59,66.2,68.56
2018-06-24 23:29,64.4,67.44
2018-06-24 23:59,64.4,66.43
2018-06-25 00:29,66.2,65.53
2018-06-25 00:59,66.2,64.85
2018-06-25 01:29,64.4,64.29
2018-06-25 01:59,64.4,63.61
2018-06-25 02:29,64.4,63.05
2018-06-25 02:59,64.4,62.60
2018-06-25 03:29,64.4,62.26
2018-06-25 03:59,64.4,61.92
2018-06-25 04:29,62.6,61.70
2018-06-25 04:59,62.6,61.59
2018-06-25 05:29,62.6,61.36
2018-06-25 05:59,62.6,61.14
2018-06-25 06:29,62.6,61.03
2018-06-25 06:59,62.6,60.91
2018-06-25 07:29,62.6,60.91
2018-06-25 07:59,62.6,61.03
2018-06-25 08:30,64.4,61.14
2018-06-25 09:00,64.4,61.59
2018-06-25 09:30,66.2,62.04
2018-06-25 10:00,68.0,62.60
2018-06-25 10:30,69.8,63.28
2018-06-25 11:00,71.6,64.06
2018-06-25 11:30,73.4,65.08
2018-06-25 12:00,75.2,66.20
2018-06-25 12:30,75.2,67.55
2018-06-25 13:00,75.2,69.12
2018-06-25 13:30,78.8,82.96
2018-06-25 14:00,78.8,80.04
2018-06-25 14:30,82.4,80.71
2018-06-25 15:00,82.4,81.50
2018-06-25 15:30,86.0,82.40
2018-06-25 16:00,86.0,83.41
2018-06-25 16:30,87.8,84.09
2018-06-25 17:00,87.8,83.86
2018-06-25 17:30,84.2,83.30
2018-06-25 18:00,84.2,82.74
2018-06-25 18:30,84.2,82.62
2018-06-25 19:00,82.4,83.97
2018-06-25 19:30,80.6,84.76
2018-06-25 20:00,77.0,84.54
2018-06-25 20:30,75.2,82.51
2018-06-25 21:00,71.6,80.49
2018-06-25 21:31,68.0,78.91
2018-06-25 22:01,66.2,77.00
2018-06-25 22:31,68.0,75.31
2018-06-25 23:01,68.0,73.74
2018-06-25 23:31,66.2,72.39
2018-06-26 00:01,66.2,71.26
2018-06-26 00:31,64.4,70.03
2018-06-26 01:01,64.4,69.01
2018-06-26 01:31,62.6,67.89
2018-06-26 02:01,62.6,66.99
2018-06-26 02:31,62.6,66.20
2018-06-26 03:01,62.6,65.41
2018-06-26 03:31,60.8,64.74
2018-06-26 04:01,60.8,63.95
2018-06-26 04:31,60.8,63.28
2018-06-26 05:01,60.8,62.60
2018-06-26 05:31,59.0,61.92
2018-06-26 06:01,59.0,61.25
2018-06-26 06:31,59.0,60.80
2018-06-26 07:01,59.0,60.35
2018-06-26 07:31,60.8,60.12
2018-06-26 08:01,62.6,60.24
2018-06-26 08:31,64.4,60.58
2018-06-26 09:01,66.2,61.25
2018-06-26 09:31,69.8,62.15
2018-06-26 10:01,71.6,63.16
2018-06-26 10:32,75.2,64.40
2018-06-26 11:02,75.2,65.64
2018-06-26 11:32,80.6,66.99
2018-06-26 12:02,80.6,68.45
2018-06-26 12:32,82.4,70.03
2018-06-26 13:02,82.4,71.94
2018-06-26 13:32,86.0,74.08
2018-06-26 14:02,86.0,76.10
2018-06-26 14:32,87.8,77.90
2018-06-26 15:02,87.8,79.59
2018-06-26 15:32,89.6,81.50
2018-06-26 16:02,89.6,83.19
2018-06-26 16:32,89.6,84.31
2018-06-26 17:02,89.6,84.54
2018-06-26 17:32,89.6,84.20
2018-06-26 18:02,89.6,83.53
2018-06-26 18:32,87.8,83.75
2018-06-26 19:02,87.8,85.10
2018-06-26 19:32,82.4,85.78
2018-06-26 20:02,82.4,85.55
2018-06-26 20:32,78.8,83.53
2018-06-26 21:02,75.2,81.61
2018-06-26 21:32,71.6,79.93
2018-06-26 22:02,68.0,78.12
2018-06-26 22:32,66.2,76.21
2018-06-26 23:02,66.2,74.53
2018-06-26 23:33,66.2,72.84
2018-06-27 00:03,62.6,71.15
2018-06-27 00:33,62.6,69.80
2018-06-27 01:03,62.6,68.56
2018-06-27 01:33,62.6,67.44
2018-06-27 02:03,62.6,66.43
2018-06-27 02:33,60.8,65.41
2018-06-27 03:03,60.8,64.40
2018-06-27 03:33,60.8,63.61
2018-06-27 04:03,60.8,62.94
2018-06-27 04:33,59.0,62.26
2018-06-27 05:03,59.0,61.70
2018-06-27 05:33,59.0,61.14
2018-06-27 06:03,59.0,60.58
2018-06-27 06:33,59.0,60.24
2018-06-27 07:03,59.0,59.90
2018-06-27 07:33,60.8,59.79
2018-06-27 08:03,60.8,59.79
2018-06-27 08:33,62.6,60.12
2018-06-27 09:03,64.4,60.58
2018-06-27 09:33,66.2,61.14
2018-06-27 10:03,66.2,61.70
2018-06-27 10:33,71.6,62.38
2018-06-27 11:03,71.6,63.16
2018-06-27 11:33,73.4,64.06
2018-06-27 12:03,75.2,65.19
2018-06-27 12:34,77.0,66.31
2018-06-27 13:04,77.0,67.78
2018-06-27 13:34,80.6,69.46
2018-06-27 14:04,80.6,71.04
2018-06-27 14:34,84.2,72.50
2018-06-27 15:04,84.2,73.85
2018-06-27 15:34,84.2,75.20
2018-06-27 16:04,84.2,76.44
2018-06-27 16:34,82.4,77.34
2018-06-27 17:04,82.4,77.22
2018-06-27 17:34,82.4,76.78
2018-06-27 18:04,82.4,75.99
2018-06-27 18:34,73.4,76.10
2018-06-27 19:04,77.0,77.00
2018-06-27 19:34,69.8,76.78
2018-06-27 20:04,73.4,75.99
2018-06-27 20:34,69.8,73.96
2018-06-27 21:04,66.2,72.16
2018-06-27 21:34,64.4,70.47
2018-06-27 22:04,62.6,68.79
2018-06-27 22:34,62.6,67.44
2018-06-27 23:04,62.6,66.31
2018-06-27 23:34,62.6,65.41
2018-06-28 00:04,62.6,64.51
2018-06-28 00:34,62.6,63.95
2018-06-28 01:04,62.6,63.39
2018-06-28 01:34,62.6,62.94
2018-06-28 02:05,62.6,62.49
2018-06-28 02:35,62.6,62.15
2018-06-28 03:05,62.6,61.70
2018-06-28 03:35,60.8,61.25
2018-06-28 04:05,60.8,60.80
2018-06-28 04:35,60.8,60.46
2018-06-28 05:05,60.8,60.01
2018-06-28 05:35,60.8,59.67
2018-06-28 06:05,60.8,59.34
2018-06-28 06:35,60.8,59.11
2018-06-28 07:05,60.8,59.00
2018-06-28 07:35,60.8,59.11
2018-06-28 08:05,60.8,59.45
2018-06-28 08:35,64.4,60.01
2018-06-28 09:05,64.4,60.58
2018-06-28 09:35,66.2,61.25
2018-06-28 10:05,66.2,62.04
2018-06-28 10:35,69.8,62.94
2018-06-28 11:05,71.6,64.06
2018-06-28 11:35,73.4,65.30
2018-06-28 12:05,75.2,66.54
2018-06-28 12:35,78.8,67.89
2018-06-28 13:05,78.8,69.69
2018-06-28 13:35,84.2,71.60
2018-06-28 14:05,84.2,73.51
2018-06-28 14:36,86.0,75.20
2018-06-28 15:06,86.0,77.00
2018-06-28 15:36,87.8,78.69
2018-06-28 16:06,87.8,80.15
2018-06-28 16:36,87.8,81.16
2018-06-28 17:06,87.8,81.39
2018-06-28 17:36,87.8,81.39
2018-06-28 18:06,87.8,81.16
2018-06-28 18:36,86.0,81.72
2018-06-28 19:06,86.0,83.08
2018-06-28 19:36,82.4,83.64
2018-06-28 20:06,82.4,83.08
2018-06-28 20:36,77.0,81.28
2018-06-28 21:06,73.4,79.59
2018-06-28 21:36,71.6,77.68
2018-06-28 22:06,69.8,76.10
2018-06-28 22:36,68.0,74.41
2018-06-28 23:06,66.2,72.95
2018-06-28 23:36,68.0,71.83
2018-06-29 00:06,68.0,70.70
2018-06-29 00:36,66.2,69.58
2018-06-29 01:06,66.2,68.45
2018-06-29 01:36,64.4,67.55
